Material - Material Number (Key),Material - Text,Material - Material Group (Key),Material - Material Group (Text),SCHC 1 - Key,SCHC 1 - Text,Storage Location - Key (Not Compounded),Storage Location,Storage Type - Key,Storage Bin - Key,Storage Bin Type - Key (Not Compounded),Stock material - Blocked Stock (Key),Stock material - In Quality Insp. (Key),Stock material - Unrestr.-use Stock (Key),Total Stock,Material - CFSS UOI (Key),Material - CFSS UOI (Text),Technical Auth. Code - Key,Technical Auth. Code - TA Environment (Text),SMC - Key,SMC - Desc. Purch. Group (Key),GR Date - Key,Material - CFSS UOI Price (Key),Material - Lead IMA (Key),Material - Stock Type (Supply) (Key),Material - Lead IMA (Text),Material - Stock Classification (Key),Material - Stock Classification (Text),Material - DMC (Key),Material - DMC (Text),Material - Repair Code (Key),Material - Repair Code (Text),CC Physical Inventor - Key (Not Compounded),Last Inventory Date - Key,Quant - Key,Last Movement Date,Status,Mat Hlth Cat,Mat Hlt Sub Cat,Mat Hlth Sub Sub Cat,Tranche 1?,Storage Location Group,Last Demand Year,Assigned Year,Line Value,Price,Blocked,Quality Inspection,Lead EPM,Mark As Hazmat,Storage Medium,Size factor,Storage Bin,Count,Cubic Metres,25 CFSD Bin Structure,Transit Bin,Robot Message,Sheet
00-0044494:NSN,"GAGE,PRESSURE",6685,Pressure/Temp/Humidi,#,Not assigned,3,25CFSD SERV,SHA,104X162A,6,3.000 EA,0.000 EA,0.000 EA,3,EA,each,A563,DGAEPM,57W,(A)DAP233C/PGS/T56,10/2/2013,77.95 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,8/31/2021,4854255,8/31/2021,Success,,,,,,,1979,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0094602:NSN,"SWITCH,TOGGLE",5930,Switches,Q,Q,3,25CFSD SERV,SHA,112E105A,6,0.000 EA,0.000 EA,6.000 EA,6,EA,each,L20E,DGLEPM,44T,(L) DLP 4-2-4-2,10/2/2013,43.21 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,83287,10/2/2013,Success,,,,,,,1972,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0152182:NSN,"SUPPORT LINER,TWO P",2840,Gas Turbines & Jet A,#,Not assigned,3,25CFSD SERV,SHA,152D112D,6,42.000 EA,0.000 EA,0.000 EA,42,EA,each,A576,DGAEPM,57W,(A)DAP233C/PGS/T56,10/2/2013,187.20 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,3365831,6/4/2018,Success,,,,,,,1977,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0152217:NSN,"BRACKET,SCAVENGE OI",5342,"Hardware, Weapon Sys",#,Not assigned,3,25CFSD SERV,SHA,114W148C,6,3.000 EA,0.000 EA,0.000 EA,3,EA,each,A576,DGAEPM,57W,(A)DAP233C/PGS/T56,10/2/2013,1.22 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4753543,6/15/2021,Success,,,,,,,1964,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0152219:NSN,"SEAT,HELICAL COMPRESSION SPRING",5340,"Hardware, Commercial",#,Not assigned,3,25CFSD SERV,SHA,116AA144A,6,1.000 EA,0.000 EA,0.000 EA,1,EA,each,A576,DGAEPM,57W,(A)DAP233C/PGS/T56,10/2/2013,15.38 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/2/2021,4860008,9/2/2021,Success,,,,,,,1979,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-5145331:NSN,"INDICATOR,TEMPERATURE,ELECTRICAL RESISTA",6685,Pressure/Temp/Humidi,R,RADIOACTIVE MATERIEL,11,25CFSD HAZMAT,999,9000150102,#,0.000 EA,0.000 EA,8.000 EA,1,EA,each,A57E,DGAEPM,52W,(A) DAP 4-3-5-2-4,11/13/2013,"8,000.00 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,5297302,8/17/2022,Success,,,,,,,1990,,,,,DGAEPM,,Transit,1,,,,,,,
12-1858970:NSN,THERMAL SIGHT ASSEMBLY,5855,Night Vision Eqpmt,#,Not assigned,4,25CFSD NS,999,LOST,#,0.000 EA,0.000 EA,4.000 EA,1,EA,each,L20E,DGLEPM,44T,(L) DLP 4-2-4-2,7/15/2016,"184,040.00 CAD",1Z,X,NDHQ CONTROLLED ITEM,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,#,4909038,9/29/2021,Success,,,,,,,1998,,,,,DGLEPM,,Transit,1,,,,,,,
12-3626368:NSN,"RELAY,ELECTROMAGNETIC",5945,Relays/Solenoids,#,Not assigned,3,25CFSD SERV,999,9000119804,#,0.000 EA,0.000 EA,74.000 EA,30,EA,each,L90V,DGLEPM,662,(L) DLP 5-2-2,8/27/2021,23.14 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4851076,8/30/2021,Success,,,,,,,2004,,,,,DGLEPM,,Transit,1,,,,,,,
12-3836289:NSN,"OPERATIONS UNIT,FIRE CONTROL EQUIPMENT",1290,Misc Fire Control Eq,#,Not assigned,5,25CFSD Rep Res,999,LOST,#,0.000 EA,0.000 EA,6.000 EA,3,EA,each,L20E,DGLEPM,44T,(L) DLP 4-2-4-2,10/2/2017,"36,336.00 CAD",1Z,X,NDHQ CONTROLLED ITEM,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,#,5061421,2/2/2022,Success,,,,,,,2010,,,,,DGLEPM,,Transit,1,,,,,,,
20-0039347:NSN,"WING ASSEMBLY,AIRCRAFT",1560,Airframe Structural,#,Not assigned,5,25CFSD Rep Res,999,LOST,#,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A22R,DGAEPM,56C,(A)DAP 5-3-2-2-4,2/8/2017,"100,000.00 CAD",1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,2939617,8/8/2017,Success,,,,,,,2008,,,,,DGAEPM,,Transit,1,,,,,,,
20-0058500:NSN,"SHELTER SYSTEM,COLLECTIVE PROTECTION,CHE",4240,Safety/Rescue Equipm,Q,Q,3,25CFSD SERV,999,9000060464,#,0.000 EA,1.000 EA,1.000 EA,1,KT,Kit,L33J,DGLEPM,327,(L) DCSEM 5-1,10/2/2013,"412,091.63 CAD",1Z,X,NDHQ CONTROLLED ITEM,A,ACCOUNTABLE STORES,F,Controlled/Demil refer to tech auth,B,3RD LINE ONLY,E,#,3841826,5/15/2019,Success,,,,,,,2010,,,,,DGLEPM,,Transit,1,,,,,,,
00-0276774:NSN,"SUPPORT,SEAT FRAME,AIRCRAFT",1680,Aircraft Accessories,Q,Q,3,25CFSD SERV,SHA,174C136A,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A31C,DGAEPM,52S,(A) DAP 6-3-5-B,#,35.19 CAD,1B,Z,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5310080,8/31/2022,Success,,,,,,,1981,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-1191972:NSN,"FILTER,BAND PASS",5915,Filters/Networks,#,Not assigned,3,25CFSD SERV,SHA,134Y151D,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,N604,DGMEPM,234,(M)D MAR P 4-2-3-3,#,250.00 CAD,1B,Z,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,F,Controlled/Demil refer to tech auth,A,NON-REPAIRABLE,G,#,5302241,8/23/2022,Success,,,,,,,1984,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-1339666:NSN,"DOOR,ACCESS",5342,"Hardware, Weapon Sys",#,Not assigned,3,25CFSD SERV,SHA,182Z153A,6,0.000 EA,0.000 EA,165.000 EA,165,EA,each,L639,DGLEPM,720,(L) DLEPS 6-5-3,#,42.81 CAD,1B,Z,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5294233,8/12/2022,Success,,,,,,,1976,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-1448850:NSN,"BEARING,BALL,ANNULAR",3110,"Bearings, Antifricti",Q,Q,3,25CFSD SERV,SHA,114V121B,6,0.000 EA,0.000 EA,2.000 EA,2,EA,each,N268,DGMEPM,234,(M)D MAR P 4-2-3-3,#,2.53 CAD,1B,Z,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,6/15/2022,5242076,6/15/2022,Success,,,,,,,1968,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
